26,31.18614578,100,5.85
25,31.1844635,99.62,5.95
26,31.39333725,99.61,5.38
25,31.4606514,99.91,5.83
26,31.31670761,99.77,5.87
26,31.13899231,99.51,6.4
26,31.03112221,99.57,6.79
26,30.7089386,99.64,6.54
25,30.31616974,99.79,6.9
26,30.31699181,99.91,6.78
25,30.10301018,99.68,6
23,29.95997429,99.71,6.44
25,29.78369522,99.66,6.33
26,29.92684364,99.59,5.99
25,29.67769432,99.86,5.57
22,29.71330071,99.74,6.4
24,29.7497139,99.9,6.38
26,29.60967827,99.94,6.51
23,29.61048508,99.99,6.06
24,29.75214195,99.85,6.47
24,29.75537682,99.9,6.19
26,29.82577133,99.58,6.72
25,29.82739258,99.64,6.74
25,29.79503059,99.89,6.31
27,29.79421997,99.79,6.84
25,29.90182495,99.93,5.49
24,29.79826736,99.57,4.52
25,29.79907799,99.66,6.39
24,29.835495,99.75,6.57
24,29.83792686,99.54,6.05
24,29.83873749,99.71,6.5
24,29.76912689,99.51,6.46
24,29.84197807,99.68,5.49
25,29.77236176,99.99,5.51
25,29.77397919,99.76,5.92
24,29.77074432,99.87,5.43
24,29.87921333,99.77,5.08
26,29.9860096,99.76,5.35
25,29.9860096,99.87,5.05
25,29.9860096,99.81,5.23
25,30.12669754,99.82,5.23
27,30.26974106,99.62,5.89
26,30.23501205,99.93,5.91
25,30.26974106,99.67,6.28
25,30.3052845,99.97,6.33
27,30.33753204,99.71,6.33
26,30.40611458,99.73,6.19
25,30.40364647,99.92,6.34
24,30.54483414,99.71,5.81
27,30.61497879,99.89,5.96
26,30.64631462,99.79,5.5
25,30.82276154,99.68,5.89
24,30.9957161,99.94,5.93
26,31.31080055,99.51,5.51
26,31.45133209,100,6.04
25,31.8723526,99.7,6.28
25,32.1508255,99.75,5.64
25,32.32683182,99.54,6
25,32.67404938,99.57,5.75
25,32.84961319,99.65,5.93
25,32.91891861,99.88,5.3
25,32.98731995,99.97,5.23
25,33.26595306,99.72,4.89
25,33.1599617,99.95,5.34
25,33.33332825,99.67,5.44
26,33.40245819,99.63,5.53
25,33.46887589,99.93,5.28
25,33.60878372,100,4.97
24,33.64195251,99.95,5.24
25,33.67690277,100,4.98
24,33.8856163,99.71,5.29
24,33.74499893,99.55,5.57
24,34.23543549,99.95,4.92
26,34.30423737,100,5.54
25,34.30241013,99.71,5.37
24,34.33543015,99.68,6.59
25,34.36935425,99.59,6.62
26,34.64694214,99.65,6.36
25,34.6460228,99.69,6.11
25,34.78513718,99.67,6.35
21,34.99271011,99.58,6.46
23,35.33975601,99.71,6.4
22,35.44282532,99.53,6.41
24,35.82373428,99.62,6.64
23,35.68530273,100,6.48
24,36.10033798,99.56,6.74
23,36.2385025,99.93,6.92
22,36.16943359,99.69,7
26,36.2385025,99.53,6.78
25,36.13393021,99.94,6.32
25,36.03026962,99.72,6.98
22,36.09938431,99.93,6.32
21,35.89292145,99.87,6.25
21,35.92750168,99.55,5.01
23,35.96112823,99.96,5.37
21,35.82373428,99.9,4.8
23,35.89292145,99.54,5.17
25,35.82278824,99.74,4.54
24,35.75263596,99.73,4.73
21,35.61322021,99.7,5.43
24,35.61322021,99.53,4.52
22,35.61510468,99.58,6.9
22,35.57859039,99.52,7.19
24,35.61322021,99.66,6.6
25,35.68152618,99.77,6.99
23,35.71519089,99.77,6.65
23,35.67963409,99.61,6.44
26,35.68341446,99.75,6.47
26,35.67963409,100,7.15
25,35.67869186,99.97,7.03
22,35.67963409,99.8,6.83
23,35.74884796,99.64,7.1
22,35.88627625,99.58,6.09
22,35.74884796,99.98,5.97
23,35.8872261,99.99,6.54
24,36.02645493,99.74,6.24
23,35.95732498,99.65,5.99
25,35.88532639,99.74,5.72
22,35.81804657,99.74,5.72
23,35.78250504,99.78,6.1
23,35.68152618,99.81,6.39
24,35.54395294,99.74,6.02
25,35.50930405,99.66,5.74
24,35.40628433,99.58,6.37
